soil_moisture_pct,crop_type_index,field_size_hectares,temperature_c,irrigation_hours
44.5,2,41.8,49.0,11.85
55.9,2,25.7,37.6,9.47
55.6,5,75.8,58.6,18.64
39.7,2,57.3,76.0,15.72
59.2,3,33.9,60.1,13.5
31.0,2,68.0,89.1,22.36
26.8,4,86.3,78.1,24.25
21.7,1,36.2,81.1,15.18
57.3,4,64.7,70.2,19.17
52.8,5,56.9,36.6,14.34
57.1,4,87.7,38.4,14.32
27.3,3,28.1,53.3,13.5
53.5,5,37.6,52.8,14.08
28.7,3,75.6,82.4,18.17
35.5,4,29.4,68.3,18.51
14.1,5,80.5,40.1,19.42
15.5,4,80.5,39.1,17.32
23.7,5,50.1,81.0,21.78
35.9,1,76.7,52.5,11.93
43.0,2,29.3,83.7,18.97
