soil_moisture_pct,crop_type_index,field_size_hectares,temperature_c,irrigation_hours
52.3,2,39.8,39.2,7.33
41.7,4,44.6,30.3,9.05
11.7,1,4.9,38.5,6.76
27.6,5,49.1,43.5,17.5
40.0,5,48.2,37.0,13.39
46.6,1,35.4,33.1,7.19
48.2,3,3.0,43.9,10.95
31.1,4,24.4,20.1,8.28
18.7,4,18.1,32.7,12.8
21.3,4,31.8,25.6,11.87
41.2,2,24.4,41.6,9.25
37.2,3,44.9,41.0,12.56
56.5,4,4.3,25.7,7.68
57.8,5,21.6,26.2,10.5
12.4,5,11.9,23.8,12.32
40.8,4,22.1,23.4,8.73
58.2,4,24.0,33.6,10.08
39.6,1,39.7,26.8,5.0
36.3,1,42.1,37.6,5.92
40.5,2,2.5,23.6,5.34
54.3,4,6.0,22.0,5.86
29.6,3,31.3,20.4,5.18
57.5,5,26.8,41.1,13.58
35.9,4,17.4,25.9,8.79
45.9,1,6.2,29.3,3.43
